Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
86,2.02549,0.273596,3.96543,0.00941699,3.54249,0.000814025,30.6249,3.01396,0.436591,
87,2.02549,0.273594,3.96543,0.00941963,3.54249,0.00081174,30.6249,3.01397,0.436591,
88,2.02549,0.273596,3.96543,0.00941838,3.54249,0.000812729,30.6249,3.01396,0.436591,
89,2.02549,0.273597,3.96543,0.00942472,3.54249,0.000806991,30.6249,3.01397,0.436588,
90,2.02549,0.273598,3.96543,0.00942203,3.54249,0.000809475,30.6249,3.01397,0.436588,
91,2.02549,0.273596,3.96543,0.00942103,3.54249,0.000810399,30.6249,3.01396,0.43659,
92,48.6585,4.1954,118.147,1638.9,21.7839,1607.32,17.9041,10.2216,23.9187,
93,2.02549,0.273597,3.96543,0.00942964,3.5425,0.000802501,30.6249,3.01397,0.436586,
94,2.02549,0.273596,3.96543,0.00942279,3.54249,0.000808862,30.6249,3.01397,0.436589,
95,2.02549,0.273596,3.96543,0.00942491,3.54249,0.000806911,30.6249,3.01397,0.436588,
96,2.02549,0.273597,3.96543,0.00942196,3.54249,0.000809468,30.6249,3.01397,0.436588,
97,2.02549,0.273595,3.96543,0.0094192,3.54249,0.000811954,30.6249,3.01396,0.436592,
98,2.02549,0.273596,3.96543,0.00942372,3.54249,0.000807898,30.6249,3.01397,0.43659,
99,2.02549,0.273596,3.96543,0.00942272,3.54249,0.000808733,30.6249,3.01397,0.43659,
