Individual,Roll.front.side_view_swing_arm_angle_l,Roll.front.roll_center.y,Roll.front.camber_angle_gain_roll_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,2in Heave.front.side_view_swing_arm_angle_l,2in Heave.front.roll_center_gnd.z,2in Heave.front.motion_ratio_heave_l,2in Heave.front.coil_over_length_l,2in Heave.front.p_rod_length_l,2in Heave.front.tie_rod_angle_top_view_l,2in Heave.front.toe_angle_l,
30,0.0162917,27.5282,2.86058,14.0983,0.260603,0.017194,654.111,4.47314,45.0531,0,2.5677,1.12278,
31,0.0100706,27.5269,2.86078,14.0988,0.254273,0.0331968,654.093,4.40175,45.123,0,2.58517,1.12473,
32,0.0229147,27.5258,2.86058,14.1024,0.246541,0.0244835,654.099,4.56341,44.9511,0,2.59139,1.12387,
33,0.00710908,27.5234,2.85995,14.0971,0.250473,0.0251218,654.124,4.54917,44.9808,0,2.57451,1.11943,
34,0.0192212,27.5262,2.86097,14.1015,0.2503,0.0300224,654.078,4.54618,44.9837,0,2.58935,1.12615,
35,0.026086,27.5245,2.8606,14.1003,0.251852,0.0267712,654.09,4.42312,45.1008,0,2.58202,1.12487,
36,0.010769,27.527,2.86028,14.0964,0.256635,0.021236,654.123,4.44621,45.0846,0,2.56698,1.11924,
37,0.00516545,27.5274,2.86035,14.0947,0.250182,0.0244906,654.121,4.51863,45.0039,0,2.58802,1.11873,
38,0.0119468,27.5253,2.86062,14.0959,0.251931,0.0324933,654.094,4.52843,45.0048,0,2.5864,1.12075,
39,0.0519887,27.5229,2.86091,14.113,0.24875,0.0404309,654.063,4.45314,45.0753,0,2.56322,1.12063,
40,0.0221176,27.5249,2.86067,14.1047,0.247365,0.0290484,654.089,4.44692,45.0731,0,2.58889,1.12603,
41,0.0319507,27.5296,2.86095,14.0984,0.259763,0.0239867,654.095,4.45533,45.0707,0,2.56533,1.12184,
42,0.00914117,27.5273,2.86044,14.0963,0.25164,0.0181538,654.115,4.448,45.0858,0,2.58144,1.12066,
43,0.0260984,27.5264,2.86109,14.1085,0.260335,0.0273705,654.072,4.37462,45.1524,0,2.57024,1.13564,
44,0.0287758,27.5244,2.8606,14.0937,0.262228,0.0319526,654.089,4.44469,45.0928,0,2.56805,1.11848,
45,0.0166954,27.5273,2.86045,14.1028,0.249284,0.0206176,654.114,4.50433,45.0232,0,2.57372,1.12324,
46,0.0182239,27.5277,2.86058,14.1035,0.254305,0.038251,654.109,4.5128,45.0099,0,2.55902,1.12301,
47,0.0314967,27.5233,2.86017,14.0892,0.249336,0.0255278,654.109,4.44656,45.0731,0,2.59342,1.11515,
48,0.0275706,27.5238,2.86047,14.0965,0.24685,0.0227203,654.094,4.50497,45.0267,0,2.59501,1.11807,
49,0.0148137,27.5226,2.86019,14.0987,0.250094,0.0394843,654.106,4.53606,44.9812,0,2.5846,1.12324,
50,0.00710141,27.5274,2.86012,14.0942,0.258327,0.0284369,654.134,4.50858,45.0147,0,2.56626,1.11802,
51,0.0245382,27.5286,2.8606,14.0998,0.25881,0.0198307,654.112,4.4599,45.0616,0,2.56785,1.1236,
52,0.00788746,27.5268,2.86023,14.0964,0.271208,0.0294201,654.124,4.45467,45.0822,0,2.5455,1.11902,
53,0.0120071,27.5247,2.86067,14.1001,0.25404,0.0357775,654.088,4.39149,45.1451,0,2.58112,1.12537,
54,0.0168016,27.5245,2.86061,14.1041,0.268612,0.0418191,654.092,4.45858,45.0631,0,2.55798,1.13067,
55,0.00723468,27.527,2.86019,14.0938,0.250774,0.0285846,654.128,4.46102,45.0583,0,2.58549,1.11833,
56,0.0309802,27.5278,2.86087,14.0968,0.251206,0.0237782,654.091,4.42674,45.1003,0,2.58835,1.12165,
57,0.0119692,27.5279,2.86026,14.0983,0.265622,0.0210044,654.129,4.43243,45.0872,0,2.56237,1.12379,
58,0.0305922,27.5269,2.86055,14.1055,0.24818,0.0247754,654.106,4.44315,45.0895,0,2.56275,1.12198,
59,0.00859094,27.5264,2.8606,14.0959,0.261341,0.030084,654.101,4.40714,45.1228,0,2.5814,1.12499,
60,0.0107831,27.5267,2.86064,14.1006,0.246361,0.0343861,654.1,4.45718,45.0617,0,2.60042,1.12229,
61,0.0334346,27.5255,2.86079,14.1037,0.25182,0.0309186,654.084,4.44392,45.0908,0,2.57204,1.12478,
62,0.0223938,27.5253,2.86055,14.0983,0.258922,0.0451787,654.098,4.40355,45.1179,0,2.56978,1.12251,
63,0.0269108,27.5287,2.86091,14.1053,0.253437,0.0239219,654.094,4.54104,44.9926,0,2.56832,1.12756,
64,0.0180862,27.5265,2.86044,14.109,0.246509,0.0168448,654.111,4.47911,45.0547,0,2.57735,1.12428,
65,0.0288328,27.527,2.86057,14.1086,0.246485,0.0282423,654.105,4.45509,45.0742,0,2.56785,1.12158,
66,0.0454794,27.5252,2.86077,14.0987,0.250282,0.0385406,654.083,4.45864,45.0576,0,2.58319,1.12203,
67,0.0213534,27.5286,2.86042,14.0997,0.263712,0.0201086,654.124,4.49403,45.0241,0,2.56416,1.12493,
68,0.00815086,27.5284,2.86046,14.0969,0.250441,0.0231187,654.119,4.48043,45.0394,0,2.59487,1.12332,
69,0.0190059,27.5276,2.86037,14.0988,0.259933,0.0200125,654.121,4.50838,45.0198,0,2.56696,1.12335,
70,0.0228079,27.5282,2.86052,14.0994,0.252139,0.019394,654.115,4.43662,45.0913,0,2.57714,1.12283,
71,0.0187347,27.5284,2.86031,14.0963,0.253254,0.0176804,654.128,4.53087,44.9916,0,2.57965,1.12029,
72,0.0256574,27.5295,2.86076,14.1012,0.267657,0.0230322,654.108,4.47577,45.0514,0,2.55703,1.12571,
73,0.0250174,27.5277,2.86059,14.0933,0.265271,0.0240946,654.107,4.42997,45.0964,0,2.57447,1.1214,
74,0.009638,27.528,2.86053,14.097,0.247988,0.0212527,654.113,4.45239,45.0779,0,2.59647,1.12159,
75,0.017823,27.5273,2.8602,14.0981,0.25961,0.0172937,654.129,4.48481,45.0426,0,2.56743,1.12164,
76,0.0270556,27.5292,2.86099,14.1044,0.254798,0.0221576,654.092,4.34683,45.1816,0,2.57766,1.12921,
77,0.0264241,27.5284,2.86044,14.097,0.260859,0.0198399,654.12,4.49929,45.0305,0,2.56335,1.1202,
78,0.0351232,27.5305,2.86173,14.1133,0.262125,0.0278311,654.055,4.41274,45.1222,0,2.56582,1.13993,
79,0.00883778,27.5286,2.86065,14.1013,0.246871,0.0305191,654.109,4.47343,45.0544,0,2.58957,1.12298,
80,36.1705,11.4658,29.8001,345.606,41.5852,36.1714,4165.03,268.939,717.407,0,6.5233,22.7252,
81,0.00921578,27.5279,2.86051,14.0988,0.271356,0.0237486,654.114,4.56497,44.971,0,2.54762,1.1225,
82,2030.63,8.56216,18.8282,14.2935,65.5658,2032.82,2923.21,46.5446,41.5934,0,6.02279,24.83,
83,0.0203663,27.5269,2.8612,14.1079,0.256866,0.0266147,654.068,4.41645,45.1203,0,2.57186,1.13343,
84,0.0373044,27.5259,2.86088,14.1012,0.259552,0.0339254,654.081,4.63465,44.9019,0,2.56681,1.12568,
85,0.0323194,27.5233,2.86094,14.098,0.268604,0.0335451,654.062,4.43343,45.0957,0,2.53878,1.11867,
86,0.0160663,27.5245,2.86056,14.1002,0.257053,0.0319569,654.093,4.67215,44.8639,0,2.56616,1.12322,
87,116.042,58.97,10.1735,254.71,95.0616,117.044,827.76,66.4666,719.999,0,14.3992,132.516,
88,0.0103652,27.53,2.8611,14.1046,0.261967,0.0211631,654.09,4.49357,45.0353,0,2.56581,1.1302,
89,0.0546533,27.5293,2.86037,14.0901,0.262375,0.0434634,654.128,4.48766,45.0404,0,2.56522,1.11476,
90,0.00601248,27.5266,2.86012,14.0977,0.249868,0.0268698,654.131,4.46348,45.0637,0,2.57399,1.11777,
91,0.0138517,27.5281,2.86086,14.1052,0.253819,0.0217273,654.094,4.45729,45.0672,0,2.56871,1.12842,
92,0.0233568,27.5299,2.86098,14.1037,0.258867,0.0202264,654.096,4.50847,45.0219,0,2.54665,1.12232,
93,0.0187433,27.5296,2.86072,14.0964,0.278621,0.0185577,654.11,4.48203,45.0435,0,2.5481,1.12222,
94,715.974,245.893,16.1155,272.217,17.8248,715.49,1404.95,269.122,1425.95,0,8.10493,134.554,
95,0.00493586,27.5295,2.86059,14.098,0.263344,0.0254904,654.117,4.45056,45.0753,0,2.56343,1.12237,
96,0.0333958,27.5258,2.86092,14.0991,0.270453,0.0327491,654.077,4.47025,45.0599,0,2.54953,1.12298,
97,0.0243769,27.5262,2.86044,14.1002,0.275971,0.0462078,654.11,4.66251,44.875,0,2.54633,1.12495,
98,0.00737032,27.5278,2.86043,14.0961,0.254537,0.0286696,654.119,4.43461,45.0965,0,2.58035,1.12128,
99,0.00634031,27.5275,2.86074,14.1006,0.247921,0.0252191,654.098,4.44124,45.0906,0,2.584,1.12142,
