Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,Heave.front.motion_ratio_heave_l,Heave.front.side_view_swing_arm_angle_l,Roll.front.camber_angle_gain_roll_l,Roll.front.roll_center.y,Roll.front.side_view_swing_arm_angle_l,Steering.front.tie_rod_angle_front_view_l,Steering.front.ackerman_angle,
32,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
33,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
34,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
35,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
36,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
37,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
38,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
39,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
40,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
41,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
42,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
43,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
44,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
45,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
46,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
47,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
48,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
49,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
50,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
51,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
52,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
53,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
54,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
55,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
56,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
57,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
58,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
59,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
60,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
61,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
62,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
63,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
64,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
65,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
66,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
67,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
68,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
69,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
70,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
71,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
72,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
73,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
74,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
75,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
76,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
77,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
78,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
79,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
80,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
81,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
82,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
83,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
84,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
85,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
86,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
87,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
88,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
89,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
90,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
91,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
92,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
93,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
94,29.9926,9.12774,60.5101,1019.71,60.9958,0.260409,1016.67,5.04228,12.3269,
95,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
96,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
97,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
98,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
99,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
100,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
101,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
102,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
103,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
104,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
105,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
106,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
107,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
108,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
109,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
110,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
111,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
112,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
113,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
114,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
115,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
116,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
117,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
118,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
119,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
120,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
121,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
122,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
123,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
124,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
125,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
126,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
127,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
128,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
129,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
130,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
131,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
132,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
133,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
134,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
135,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
136,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
137,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
138,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
139,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
140,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
141,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
142,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
143,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
144,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
145,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
146,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
147,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
148,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
149,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
150,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
151,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
152,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
153,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
154,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
155,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
156,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
157,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
158,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
159,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
160,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
161,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
162,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
163,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
164,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
165,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
166,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
167,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
168,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
169,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
170,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
171,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
172,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
173,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
174,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
175,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
176,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
177,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
178,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
179,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
180,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
181,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
182,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
183,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
184,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
185,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
186,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
187,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
188,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
189,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
190,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
191,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
192,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
193,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
194,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
195,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
196,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
197,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
198,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
199,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
200,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
201,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
202,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
203,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
204,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
205,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
206,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
207,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
208,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
209,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
210,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
211,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
212,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
213,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
214,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
215,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
216,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
217,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
218,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
219,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
220,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
221,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
222,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
223,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
224,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
225,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
226,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
227,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
228,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
229,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
230,45.553,4.92697,66.0794,911.036,48.8126,0.255611,909.118,8.56395,4.22985,
231,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
232,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
233,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
234,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
235,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
236,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
237,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
238,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
239,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
240,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
241,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
242,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
243,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
244,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
245,14.355,12.253,61.7743,1032.88,61.4,0.251461,1029.91,7.56627,0.853943,
246,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
247,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
248,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
249,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
250,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
251,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
252,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
253,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
254,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
255,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
256,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
257,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
258,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
259,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
260,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
261,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
262,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
263,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
264,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
265,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
266,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
267,50.8468,5.57991,33.3625,1628.51,18.8537,0.459773,1596.47,5.34288,4.02734,
268,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
269,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
270,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
271,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
272,3.00408,0.00042905,0.937131,0.38897,27.8248,0.512682,0.121726,4.92617,0.0354899,
